"","stateabbr","block_fips","hu2010","hu2011","hu2012","hu2013","hu2014","hu2015","hu2016","hu2017","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","hh2010","hh2011","hh2012","hh2013","hh2014","hh2015","hh2016","hh2017","TractCode"
"10089944","VT",500019601002027,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,"50001960100"
"10089945","VT",500019601002028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089946","VT",500019601002029,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,"50001960100"
"10089947","VT",500019601002030,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,3,3,3,3,"50001960100"
"10089948","VT",500019601002031,5,5,5,5,5,5,5,5,13,13,13,13,13,13,13,13,5,5,5,5,5,5,5,5,"50001960100"
"10089949","VT",500019601002032,8,8,8,8,8,8,9,9,18,18,18,18,18,18,18,18,7,7,7,7,7,7,7.875,7.875,"50001960100"
"10089950","VT",500019601002033,7,7,7,7,7,7,7,7,16,16,16,16,16,16,16,16,7,7,7,7,7,7,7,7,"50001960100"
"10089951","VT",500019601002034,7,7,7,7,7,7,7,7,20,20,20,20,20,20,20,20,7,7,7,7,7,7,7,7,"50001960100"
"10089952","VT",500019601002035,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,"50001960100"
"10089953","VT",500019601002036,10,10,10,10,10,10,10,10,37,37,37,37,37,37,37,37,10,10,10,10,10,10,10,10,"50001960100"
"10089954","VT",500019601003000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089955","VT",500019601003001,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,"50001960100"
"10089956","VT",500019601003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089957","VT",500019601003003,19,19,19,19,19,19,19,19,53,53,52,52,52,52,52,52,18,18,18,18,18,18,18,18,"50001960100"
"10089958","VT",500019601003004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089959","VT",500019601003005,15,15,15,15,15,15,15,16,39,39,39,39,39,39,39,39,15,15,15,15,15,15,15,16,"50001960100"
"10089960","VT",500019601003006,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,"50001960100"
"10089961","VT",500019601003007,24,24,24,24,24,24,24,25,63,63,62,62,62,62,62,62,23,23,23,23,23,23,23,23.9583,"50001960100"
"10089962","VT",500019601003008,13,14,14,14,14,14,14,14,38,38,38,38,38,38,38,38,13,14,14,14,14,14,14,14,"50001960100"
"10089963","VT",500019601003009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089964","VT",500019601003010,16,16,16,16,16,17,19,19,37,37,37,37,38,38,38,38,16,16,16,16,16,17,19,19,"50001960100"
"10089965","VT",500019601003011,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"50001960100"
"10089966","VT",500019601003012,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,5,5,5,5,5,5,5,5,"50001960100"
"10089967","VT",500019601003013,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,"50001960100"
"10089968","VT",500019601003014,11,11,11,11,11,11,11,12,27,28,28,28,28,28,28,28,11,11,11,11,11,11,11,12,"50001960100"
"10089969","VT",500019601003015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089970","VT",500019601003016,59,59,59,59,59,59,59,60,78,79,78,78,78,78,78,78,33,33,33,33,33,33,33,33.5593,"50001960100"
"10089971","VT",500019601003017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089972","VT",500019601003018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089973","VT",500019601003019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089974","VT",500019601003020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
